"FAQ","FAQ"
"FAQ by Aheadworks","FAQ by Aheadworks"
"Thank you for voting!","Thank you for voting!"
"Back", "Back"
"Enabled","Enabled"
"Disabled","Disabled"
"Delete Article","Delete Article"
"Delete Category","Delete Category"
"Are you sure you want to do this?","Are you sure you want to do this?"
"Save Article","Save Article"
"Save Category","Save Category"
"The article has been deleted.","The article has been deleted."
"Something went wrong while trying to delete the article.","Something went wrong while trying to delete the article."
"Manage Articles","Manage Articles"
"Manage Categories","Manage Categories"
"This page no longer exists.","This page no longer exists."
"Edit Article","Edit Article"
"Edit Category","Edit Category"
"New Article","New Article"
"New Category","New Category"
"Articles","Articles"
"Categories","Categories"
"New Article","New Article"
"FAQ Articles","FAQ Articles"
"FAQ Categories","FAQ Categories"
"A total of %1 record(s) have been deleted.","A total of %1 record(s) have been deleted."
"Something went wrong while deleting articles.","Something went wrong while deleting articles."
"Something went wrong while deleting categories.","Something went wrong while deleting categories."
"Something went wrong while trying to delete the category.","Something went wrong while trying to delete the category."
"A total of %1 record(s) have been disabled.","A total of %1 record(s) have been disabled."
"Something went wrong while saving changes.","Something went wrong while saving changes."
"Something went wrong while saving the category.","Something went wrong while saving the category."
"A total of %1 record(s) have been enabled.","A total of %1 record(s) have been enabled."
"You saved the article.","You saved the article."
"You saved the category.","You saved the category."
"Something went wrong while saving the article.","Something went wrong while saving the article."
"Something went wrong. Please vote again later.","Something went wrong. Please vote again later."
"Could not save the article: %1","Could not save the article: %1"
"Could not save the category: %1","Could not save the category: %1"
"FAQ Article with id ""%1"" does not exist.","FAQ Article with id ""%1"" does not exist."
"FAQ Category with id ""%1"" does not exist.","FAQ Category with id ""%1"" does not exist."
"Could not delete the article: %1","Could not delete the article: %1"
"Could not delete the category: %1","Could not delete the category: %1"
"Something went wrong while saving the file(s).","Something went wrong while saving the file(s)."
"Image do not exist","Image do not exist"
"File can not be saved to the destination folder.","File can not be saved to the destination folder."
"Something went wrong while saving the file(s).","Something went wrong while saving the file(s)."
"The URL key contains capital letters or disallowed symbols.","The URL key contains capital letters or disallowed symbols."
"The URL key cannot be made of only numbers.","The URL key cannot be made of only numbers."
"The URL key already exists.,"The URL key already exists."
"Title can't be empty.","Title can't be empty."
"Url key can't be empty.","Url key can't be empty."
"Content can't be empty.","Content can't be empty."
"Sort order must contain only digits.","Sort order must contain only digits."
"Number of helpful votes must contain only digits.","Number of helpful votes must contain only digits."
"Number of total votes must contain only digits.","Number of total votes must contain only digits."
"Number of total votes can't be less Number of helpful votes.","Number of total votes can't be less Number of helpful votes."
"Views must contain only digits.","Views must contain only digits."
"Number of articles to display must contain only digits.","Number of articles to display must contain only digits."
"All Store Views","All Store Views"
"Be the first to vote!","Be the first to vote!"
"Was this helpful?","Was this helpful?"
"You said ""Yes""","You said ""Yes"""
"You said ""No""","You said ""No"""
"I like it","I like it"
"No","No"
"Yes","Yes"
"I don't like it","I don't like it"
"Number of articles containing ""%1"": %2","Number of articles containing ""%1"": %2"
"Go to %1","Go to %1"
"Back to %1","Back to %1"
"Go to store homepage","Go to store homepage"
"Faq Section","Faq Section"
"Add New Article","Add New Article"
"ID","ID"
"Article Name","Article Name"
"URL key","URL key"
"URL Key","URL Key"
"Status","Status"
"Sort order","Sort order"
"Store view","Store view"
"Store View","Store View"
"Number of helpful votes","Number of helpful votes"
"Number of total votes","Number of total votes"
"Helpfulness Rate","Helpfulness Rate"
"Actions","Actions"
"Delete","Delete"
"Disable","Disable"
"Enable","Enable"
"Enable article","Enable article"
"Article title","Article title"
"Category","Category"
"Content","Content"
"Meta title","Meta title"
"Meta description","Meta description"
"Statistics","Statistics"
"Views","Views"
"Add New Category","Add New Category"
"Category name","Category name"
"Category Name","Category Name"
"Enable category","Enable category"
"Number of articles to display on FAQ main page","Number of articles to display on FAQ main page"
"Category icon","Category icon"
"Article list icon","Article list icon"
"Upload","Upload"
"SEO","SEO"
"Articles with lower value will appear first. Note: Articles with the same value are sorted by number of helpful votes","Articles with lower value will appear first. Note: Articles with the same value are sorted by number of helpful votes"
"Categories with lower value will appear first","Categories with lower value will appear first"
"0 or empty disables limitation","0 or empty disables limitation"
"Settings","Settings"
"Aheadworks Extensions","Aheadworks Extensions"
"General Settings","General Settings"
"FAQ name","FAQ name"
"FAQ route","FAQ route"
"FAQ main page meta title","FAQ main page meta title"
"FAQ main page meta description","FAQ main page meta description"
"Default number of columns on FAQ main page","Default number of columns on FAQ main page"
"Enable search in articles","Enable search in articles"
"Display link to FAQ in the top menu","Display link to FAQ in the top menu"
"Display link to FAQ in the main navigation","Display link to FAQ in the main navigation"
"Display link to FAQ in the footer links","Display link to FAQ in the footer links"
"Who can view FAQ content","Who can view FAQ content"
"Articles Helpfulness","Articles Helpfulness"
"Who can view helpfulness","Who can view helpfulness"
"Display helpfulness rate before voting","Display helpfulness rate before voting"
"Display helpfulness rate after voting","Display helpfulness rate after voting"
"Message displayed if customer voted ""Not helpful""","Message displayed if customer voted ""Not helpful"""
"E.g.: ""faq"" will make the FAQ accessible from http://mydomain.com/faq","E.g.: ""faq"" will make the FAQ accessible from http://mydomain.com/faq"
"Delete items","Delete items"
"Are you sure you want to delete selected items?","Are you sure you want to delete selected items?"
"Search","Search"
"Get Support","Get Support"
"Readme","Readme"
"Sort Order","Sort Order"
"The category has been deleted.","The category has been deleted."
"Test Phrase","Test Phrase"
"Read %1 more article(s)","Read %1 more article(s)"
"No results found.","No results found."
"Try searching something else or <a href=""%1"">go back</a> to previous page.","Try searching something else or <a href=""%1"">go back</a> to previous page."
"({rating}% of other people think it was helpful)","({rating}% of other people think it was helpful)"
"Enable ""Ask a question"" form on the article pages","Enable ""Ask a question"" form on the article pages"
"Email address for the questions from article pages","Email address for the questions from article pages"
"Something went wrong. Please try again later.","Something went wrong. Please try again later."
"Thanks for your question. We\'ll respond to you very soon.","Thanks for your question. We\'ll respond to you very soon."
"Unable to send mail.","Unable to send mail."
"What is your question?","What is your question?"
"Name","Name"
"Email","Email"
"Question","Question"
"Submit the question","Submit the question"
"* Required Fields","* Required Fields"
"Name is required","Name is required"
"Email is required","Email is required"
"Question content is required","Question content is required"
"Ask a question","Ask a question"
"Search results for: """%1""","Search results for: ""%1"""
"Tags:","Tags:"
"Search Docs...","Search Docs..."
"(%1% of other people think it was helpful)","(%1% of other people think it was helpful)"
"Pick FAQ articles","Pick FAQ articles"
"Add selected articles","Add selected articles"
"You can attach FAQ articles to product","You can attach FAQ articles to product"
"Article Name","Article Name"
"Url Key","Url Key",
"Category ID","Category ID"
"String contains disallowed characters","String contains disallowed characters"
"Article URL suffix contains disallowed characters","Article URL suffix contains disallowed characters"
"Category URL suffix contains disallowed characters","Category URL suffix contains disallowed characters"
"Show Subcategories and Articles on the Category page","Show Subcategories and Articles on the Category page"
"Search Engine Optimization","Search Engine Optimization"
"Article URL suffix","Article URL suffix"
"Category URL Suffix","Category URL Suffix"
"Create Permanent Redirect for URLs if URL Key Changed","Create Permanent Redirect for URLs if URL Key Changed"
"Page Title Separator","Page Title Separator"
"Title Prefix","Title Prefix"
"Title Suffix","Title Suffix"
"Meta Title Suffix For All Pages","Meta Title Suffix For All Pages"
"Use Canonical Link Meta Tag For Categories","Use Canonical Link Meta Tag For Categories"
"Use Canonical Link Meta Tag For Articles","Use Canonical Link Meta Tag For Articles"
"Add Root Category","Add Root Category"
"Add Subcategory","Add Subcategory"
"Meta keywords","Meta keywords"
"Tags","Tags"
"Minimal Query Length","Minimal Query Length"
"Maximum Query Length","Maximum Query Length"
"Search query cannot be empty","Search query cannot be empty"
"Minimum Search query length is %1","Minimum Search query length is %1"
"Maximum Search query length is %1","Maximum Search query length is %1"
